NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 0.750579006, "[[0.0][26.0,0.0,1.0,0.0,0.0]]", "[[0.0][26.0,2.0,3.0,0.0,2.0], [0.0][25.0,2.0,4.0,0.0,4.0], [0.0][26.0,2.0,3.0,0.0,3.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][27.0,6.0,6.0,0.0,6.0], [0.0][26.0,4.0,5.0,0.0,5.0], [0.0][26.0,2.0,3.0,0.0,2.0], [0.0][26.0,2.0,3.0,0.0,2.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][26.0,4.0,5.0,0.0,5.0], [0.0][25.0,2.0,4.0,0.0,4.0], [0.0][25.0,2.0,4.0,0.0,4.0], [0.0][26.0,4.0,5.0,0.0,5.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,2.0,3.0,0.0,2.0], [0.0][26.0,2.0,3.0,0.0,3.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,2.0,4.0,0.0,2.0], [0.0][25.0,2.0,4.0,0.0,3.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][27.0,2.0,2.0,0.0,2.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,2.0,4.0,0.0,3.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,2.0,3.0,0.0,3.0], [0.0][26.0,2.0,3.0,0.0,2.0], [0.0][25.0,0.0,2.0,0.0,2.0], [0.0][27.0,0.0,0.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,2.0,4.0,0.0,3.0], [0.0][25.0,2.0,4.0,0.0,4.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,2.0,3.0,0.0,2.0]]", 40
80, 0.868826622, "[[0.0][26.0,0.0,1.0,0.0,0.0]]", "[[0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][27.0,0.0,0.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,2.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][27.0,1.0,1.0,0.0,1.0], [0.0][26.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][26.0,1.0,2.0,0.0,1.0], [0.0][24.0,1.0,4.0,0.0,2.0], [0.0][25.0,1.0,3.0,0.0,2.0], [0.0][25.0,1.0,3.0,0.0,2.0], [0.0][25.0,1.0,3.0,0.0,2.0], [0.0][26.0,1.0,2.0,0.0,2.0], [0.0][26.0,1.0,2.0,0.0,2.0], [0.0][26.0,1.0,2.0,0.0,2.0], [0.0][26.0,1.0,2.0,0.0,2.0], [0.0][26.0,1.0,2.0,0.0,2.0], [0.0][26.0,1.0,2.0,0.0,2.0], [0.0][25.0,1.0,3.0,0.0,2.0], [0.0][25.0,1.0,3.0,0.0,2.0], [0.0][24.0,1.0,4.0,0.0,2.0]]", 40
120, 0.956565235, "[[0.0][26.0,0.0,1.0,0.0,0.0]]", "[[0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][27.0,0.0,0.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,2.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][27.0,1.0,1.0,0.0,1.0], [0.0][26.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][26.0,1.0,2.0,0.0,1.0], [0.0][26.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][24.0,1.0,4.0,0.0,1.0], [0.0][27.0,1.0,1.0,0.0,1.0], [0.0][26.0,1.0,2.0,0.0,1.0], [0.0][26.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0]]", 40
160, 1.046363847, "[[0.0][26.0,0.0,1.0,0.0,0.0]]", "[[0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][27.0,0.0,0.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,2.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [16.0][23.0,1.0,4.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][27.0,1.0,1.0,0.0,1.0], [0.0][26.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][26.0,1.0,2.0,0.0,1.0], [0.0][26.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][24.0,1.0,4.0,0.0,1.0]]", 40
200, 1.13423556, "[[0.0][26.0,0.0,1.0,0.0,0.0]]", "[[0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][27.0,0.0,0.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,2.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [16.0][23.0,1.0,4.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][27.0,1.0,1.0,0.0,1.0], [0.0][26.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0], [0.0][25.0,1.0,3.0,0.0,1.0]]", 40
240, 1.220702372, "[[5.0][23.0,0.0,3.0,0.0,0.0]]", "[[5.0][23.0,0.0,3.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][27.0,0.0,0.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,2.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][24.0,1.0,3.0,0.0,1.0], [0.0][24.0,1.0,3.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [16.0][23.0,1.0,4.0,0.0,1.0]]", 40
280, 1.2957957820000001, "[[5.0][23.0,0.0,3.0,0.0,0.0]]", "[[5.0][23.0,0.0,3.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][27.0,0.0,0.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][23.0,1.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][23.0,0.0,3.0,0.0,2.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,2.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0], [0.0][25.0,1.0,2.0,0.0,1.0]]", 40
320, 1.362804492, "[[4.5][22.0,0.0,2.0,0.0,0.0]]", "[[4.5][22.0,0.0,2.0,0.0,0.0], [5.0][23.0,0.0,3.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][27.0,0.0,0.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][23.0,1.0,2.0,0.0,1.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][23.0,0.0,3.0,0.0,2.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][23.0,1.0,3.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,2.0]]", 40
360, 1.4401855030000001, "[[4.5][22.0,0.0,2.0,0.0,0.0]]", "[[4.5][22.0,0.0,2.0,0.0,0.0], [6.0][21.0,0.0,3.0,0.0,0.0], [0.0][22.0,0.0,3.0,0.0,0.0], [2.962962962962963][21.0,0.0,4.0,0.0,0.0], [0.0][22.0,1.0,2.0,0.0,1.0], [5.0][23.0,0.0,3.0,0.0,0.0], [5.0][23.0,0.0,3.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][27.0,0.0,0.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][23.0,1.0,2.0,0.0,1.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0]]", 40
400, 1.5109507130000002, "[[1.5789473684210527][20.0,0.0,3.0,0.0,1.0]]", "[[1.5789473684210527][20.0,0.0,3.0,0.0,1.0], [4.5][22.0,0.0,2.0,0.0,0.0], [6.0][21.0,0.0,3.0,0.0,0.0], [0.0][22.0,0.0,3.0,0.0,0.0], [0.0][22.0,0.0,2.0,0.0,1.0], [2.2222222222222223][22.0,0.0,3.0,0.0,0.0], [2.962962962962963][21.0,0.0,4.0,0.0,0.0], [0.0][22.0,1.0,2.0,0.0,1.0], [5.0][23.0,0.0,3.0,0.0,0.0], [5.0][23.0,0.0,3.0,0.0,0.0], [5.0][23.0,0.0,3.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][27.0,0.0,0.0,0.0,0.0], [0.0][26.0,0.0,1.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][23.0,1.0,2.0,0.0,1.0], [0.0][24.0,0.0,2.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][24.0,0.0,3.0,0.0,0.0], [0.0][25.0,0.0,2.0,0.0,0.0], [1.188118811881188][21.0,1.0,4.0,0.0,1.0], [4.500000000000001][21.0,1.0,4.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][24.0,0.0,3.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0], [0.0][26.0,0.0,1.0,0.0,1.0], [0.0][25.0,0.0,2.0,0.0,1.0]]", 40
