NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 0.6899522920000001, "[[0.0][19.0,0.0,1.0,0.0,0.0]]", "[[0.0][18.0,0.0,2.0,0.0,1.0], [0.0][18.0,2.0,4.0,0.0,3.0], [0.0][19.0,2.0,3.0,0.0,3.0], [0.0][19.0,2.0,3.0,0.0,3.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][18.0,2.0,4.0,0.0,3.0], [0.0][19.0,2.0,3.0,0.0,2.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][18.0,2.0,4.0,0.0,2.0], [0.0][18.0,2.0,4.0,0.0,3.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,2.0,3.0,0.0,2.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][18.0,2.0,4.0,0.0,3.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,4.0,5.0,0.0,4.0], [0.0][19.0,2.0,3.0,0.0,2.0], [0.0][20.0,4.0,4.0,0.0,4.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,2.0,3.0,0.0,3.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][20.0,2.0,2.0,0.0,2.0], [0.0][19.0,2.0,3.0,0.0,2.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][20.0,4.0,4.0,0.0,4.0], [0.0][20.0,2.0,2.0,0.0,2.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,2.0,3.0,0.0,3.0], [0.0][20.0,2.0,2.0,0.0,2.0], [0.0][19.0,2.0,3.0,0.0,2.0]]", 40
80, 0.8281279100000001, "[[0.0][19.0,0.0,1.0,0.0,0.0]]", "[[0.0][19.0,0.0,1.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][16.0,0.0,4.0,0.0,2.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][17.0,1.0,4.0,0.0,1.0], [0.0][17.0,1.0,4.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][19.0,1.0,2.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][17.0,1.0,4.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][19.0,1.0,2.0,0.0,1.0], [0.0][20.0,1.0,1.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][17.0,1.0,4.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0]]", 40
120, 0.8937967710000001, "[[0.0][19.0,0.0,1.0,0.0,0.0]]", "[[0.0][19.0,0.0,1.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][16.0,0.0,4.0,0.0,2.0], [0.0][17.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,2.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][17.0,1.0,4.0,0.0,1.0], [0.0][17.0,1.0,4.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][19.0,1.0,2.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0]]", 40
160, 0.9734902240000001, "[[0.0][17.0,0.0,2.0,0.0,0.0]]", "[[0.0][17.0,0.0,2.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][16.0,0.0,4.0,0.0,2.0], [0.0][17.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,2.0,0.0,1.0], [0.0][18.0,1.0,2.0,0.0,1.0], [0.0][17.0,1.0,3.0,0.0,1.0], [3.333333333333333][16.0,1.0,4.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,3.0,0.0,1.0], [0.0][17.0,1.0,4.0,0.0,1.0]]", 40
200, 1.057056175, "[[0.0][17.0,0.0,2.0,0.0,0.0]]", "[[0.0][17.0,0.0,2.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][16.0,0.0,4.0,0.0,2.0], [0.0][17.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,2.0,0.0,1.0], [0.0][18.0,1.0,2.0,0.0,1.0], [0.0][17.0,1.0,3.0,0.0,1.0], [0.0][17.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,2.0,0.0,1.0], [0.0][17.0,1.0,3.0,0.0,1.0], [0.0][17.0,1.0,3.0,0.0,1.0]]", 40
240, 1.1306163310000001, "[[0.0][17.0,0.0,2.0,0.0,0.0]]", "[[0.0][17.0,0.0,2.0,0.0,0.0], [0.0][16.0,0.0,3.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][16.0,0.0,4.0,0.0,2.0], [0.0][17.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,2.0,0.0,1.0], [0.0][18.0,1.0,2.0,0.0,1.0], [0.0][17.0,1.0,3.0,0.0,1.0]]", 40
280, 1.187988897, "[[0.0][17.0,0.0,2.0,0.0,0.0]]", "[[0.0][17.0,0.0,2.0,0.0,0.0], [0.0][16.0,0.0,3.0,0.0,0.0], [0.0][16.0,0.0,3.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][16.0,0.0,4.0,0.0,2.0], [0.0][17.0,1.0,3.0,0.0,1.0], [0.0][18.0,1.0,2.0,0.0,1.0]]", 40
320, 1.253152258, "[[0.0][17.0,0.0,2.0,0.0,0.0]]", "[[0.0][17.0,0.0,2.0,0.0,0.0], [0.0][16.0,0.0,3.0,0.0,0.0], [0.0][16.0,0.0,3.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][16.0,0.0,4.0,0.0,2.0], [0.0][17.0,1.0,3.0,0.0,1.0]]", 40
360, 1.312462123, "[[0.0][17.0,0.0,2.0,0.0,0.0]]", "[[0.0][17.0,0.0,2.0,0.0,0.0], [0.0][16.0,0.0,3.0,0.0,0.0], [0.0][16.0,0.0,3.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][16.0,1.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0]]", 40
400, 1.36861619, "[[0.0][17.0,0.0,2.0,0.0,0.0]]", "[[0.0][17.0,0.0,2.0,0.0,0.0], [0.0][16.0,0.0,3.0,0.0,0.0], [0.0][16.0,0.0,3.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][20.0,0.0,0.0,0.0,0.0], [0.0][19.0,0.0,1.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][18.0,0.0,2.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][16.0,1.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][17.0,0.0,3.0,0.0,0.0], [0.0][16.0,0.0,3.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][17.0,0.0,3.0,0.0,1.0], [0.0][18.0,0.0,2.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0], [0.0][19.0,0.0,1.0,0.0,1.0]]", 40
