NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 0.6501822100000001, "[[0.0][14.0,0.0,1.0,0.0,0.0]]", "[[0.0][12.0,0.0,3.0,0.0,2.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,4.0,5.0,0.0,4.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][13.0,2.0,4.0,0.0,2.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,2.0,4.0,0.0,3.0], [0.0][13.0,2.0,4.0,0.0,4.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][14.0,2.0,3.0,0.0,3.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][13.0,2.0,4.0,0.0,2.0], [0.0][14.0,2.0,3.0,0.0,2.0], [0.0][14.0,2.0,3.0,0.0,2.0], [0.0][13.0,2.0,4.0,0.0,2.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,4.0,5.0,0.0,4.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][14.0,4.0,5.0,0.0,4.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,2.0,3.0,0.0,2.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][13.0,2.0,4.0,0.0,3.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,2.0,3.0,0.0,2.0], [0.0][13.0,2.0,4.0,0.0,2.0], [0.0][14.0,2.0,3.0,0.0,3.0], [0.0][15.0,4.0,4.0,0.0,4.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][15.0,4.0,4.0,0.0,4.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][14.0,2.0,3.0,0.0,3.0], [0.0][14.0,2.0,3.0,0.0,3.0], [0.0][14.0,4.0,5.0,0.0,4.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,2.0,3.0,0.0,2.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][15.0,0.0,0.0,0.0,0.0], [0.0][13.0,2.0,4.0,0.0,2.0]]", 40
80, 0.738031238, "[[0.0][14.0,0.0,1.0,0.0,0.0]]", "[[0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][15.0,0.0,0.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][13.0,1.0,2.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][15.0,1.0,1.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,2.0], [0.0][13.0,1.0,3.0,0.0,2.0], [0.0][14.0,1.0,2.0,0.0,2.0], [0.0][13.0,1.0,3.0,0.0,2.0], [0.0][13.0,1.0,3.0,0.0,2.0], [0.0][13.0,1.0,3.0,0.0,2.0], [0.0][12.0,1.0,4.0,0.0,2.0], [0.0][14.0,1.0,2.0,0.0,2.0], [0.0][13.0,1.0,3.0,0.0,2.0], [0.0][13.0,1.0,3.0,0.0,2.0], [0.0][12.0,1.0,4.0,0.0,2.0], [0.0][13.0,1.0,3.0,0.0,2.0], [0.0][13.0,1.0,3.0,0.0,2.0], [0.0][14.0,1.0,2.0,0.0,2.0]]", 40
120, 0.8039976600000001, "[[0.0][14.0,0.0,1.0,0.0,0.0]]", "[[0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][15.0,0.0,0.0,0.0,0.0], [0.0][12.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][13.0,1.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][12.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][15.0,1.0,1.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][15.0,1.0,1.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][15.0,1.0,1.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,2.0], [0.0][13.0,1.0,3.0,0.0,2.0], [0.0][14.0,1.0,2.0,0.0,2.0], [0.0][13.0,1.0,3.0,0.0,2.0], [0.0][13.0,1.0,3.0,0.0,2.0]]", 40
160, 0.8608840780000001, "[[0.0][14.0,0.0,1.0,0.0,0.0]]", "[[0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][15.0,0.0,0.0,0.0,0.0], [0.0][12.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][11.0,0.0,4.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][13.0,1.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][12.0,1.0,3.0,0.0,1.0], [4.0][12.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][15.0,1.0,1.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][15.0,1.0,1.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][15.0,1.0,1.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0]]", 40
200, 0.9357834020000001, "[[0.0][14.0,0.0,1.0,0.0,0.0]]", "[[0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][15.0,0.0,0.0,0.0,0.0], [0.0][12.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][11.0,0.0,4.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][13.0,1.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][12.0,1.0,3.0,0.0,1.0], [4.0][12.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][15.0,1.0,1.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][15.0,1.0,1.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][15.0,1.0,1.0,0.0,1.0]]", 40
240, 0.9954262210000001, "[[0.0][14.0,0.0,1.0,0.0,0.0]]", "[[0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][15.0,0.0,0.0,0.0,0.0], [0.0][12.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][12.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][11.0,0.0,4.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][13.0,1.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][12.0,1.0,3.0,0.0,1.0], [0.0][12.0,1.0,3.0,0.0,1.0], [4.0][12.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][15.0,1.0,1.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0]]", 40
280, 1.051238539, "[[0.0][14.0,0.0,1.0,0.0,0.0]]", "[[0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][15.0,0.0,0.0,0.0,0.0], [0.0][12.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][12.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][11.0,0.0,4.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][13.0,1.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][12.0,1.0,3.0,0.0,1.0], [0.0][12.0,1.0,3.0,0.0,1.0], [4.0][12.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][15.0,1.0,1.0,0.0,1.0]]", 40
320, 1.099262655, "[[0.0][14.0,0.0,1.0,0.0,0.0]]", "[[0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][15.0,0.0,0.0,0.0,0.0], [0.0][12.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][12.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][11.0,0.0,4.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][13.0,1.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][12.0,1.0,3.0,0.0,1.0], [0.0][12.0,1.0,3.0,0.0,1.0], [0.0][12.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,2.0,0.0,1.0], [4.0][12.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0], [0.0][14.0,1.0,2.0,0.0,1.0]]", 40
360, 1.1541464730000002, "[[0.0][14.0,0.0,1.0,0.0,0.0]]", "[[0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][15.0,0.0,0.0,0.0,0.0], [0.0][12.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][12.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][11.0,0.0,4.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][11.0,1.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][13.0,1.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][12.0,1.0,3.0,0.0,1.0], [0.0][12.0,1.0,3.0,0.0,1.0], [0.0][12.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,2.0,0.0,1.0], [0.0][13.0,1.0,2.0,0.0,1.0], [4.0][12.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,3.0,0.0,1.0]]", 40
400, 1.20742839, "[[0.0][11.0,0.0,2.0,0.0,0.0]]", "[[0.0][11.0,0.0,2.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][14.0,0.0,1.0,0.0,0.0], [0.0][15.0,0.0,0.0,0.0,0.0], [0.0][12.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][13.0,0.0,2.0,0.0,0.0], [0.0][12.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][14.0,0.0,1.0,0.0,1.0], [0.0][11.0,0.0,4.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][13.0,0.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][11.0,1.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][11.0,1.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][13.0,1.0,2.0,0.0,1.0], [0.0][12.0,0.0,3.0,0.0,2.0], [0.0][12.0,1.0,3.0,0.0,1.0], [0.0][12.0,1.0,3.0,0.0,1.0], [0.0][12.0,1.0,3.0,0.0,1.0], [0.0][13.0,1.0,2.0,0.0,1.0]]", 40
