NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 0.633885345, "[[0.0][9.0,0.0,1.0,0.0,0.0]]", "[[0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,4.0,5.0,0.0,4.0], [0.0][9.0,4.0,5.0,0.0,4.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][8.0,2.0,4.0,0.0,2.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][10.0,2.0,2.0,0.0,2.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,1.0], [0.0][8.0,2.0,4.0,0.0,3.0], [0.0][9.0,2.0,3.0,0.0,2.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,2.0,4.0,0.0,2.0], [0.0][9.0,4.0,5.0,0.0,4.0], [0.0][9.0,2.0,3.0,0.0,2.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,2.0,3.0,0.0,2.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,2.0,4.0,0.0,2.0], [0.0][10.0,2.0,2.0,0.0,2.0], [0.0][10.0,2.0,2.0,0.0,2.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,2.0,3.0,0.0,2.0], [0.0][9.0,2.0,3.0,0.0,2.0], [0.0][8.0,2.0,4.0,0.0,3.0], [0.0][10.0,2.0,2.0,0.0,2.0], [0.0][8.0,2.0,4.0,0.0,2.0], [0.0][9.0,2.0,3.0,0.0,2.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,2.0,4.0,0.0,2.0], [0.0][9.0,2.0,3.0,0.0,2.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,2.0,4.0,0.0,2.0], [0.0][9.0,2.0,3.0,0.0,2.0], [0.0][10.0,0.0,0.0,0.0,0.0]]", 40
80, 0.715149499, "[[6.0][7.0,0.0,2.0,0.0,0.0]]", "[[6.0][7.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [0.0][7.0,1.0,3.0,0.0,1.0], [4.0][7.0,1.0,3.0,0.0,1.0], [4.0][7.0,1.0,3.0,0.0,1.0], [0.0][7.0,1.0,4.0,0.0,1.0], [0.0][7.0,1.0,4.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0], [0.0][8.0,1.0,3.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0], [0.0][10.0,1.0,1.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0], [0.0][7.0,1.0,4.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0], [0.0][8.0,1.0,3.0,0.0,1.0], [0.0][8.0,1.0,3.0,0.0,1.0], [0.0][7.0,1.0,4.0,0.0,1.0], [0.0][7.0,1.0,4.0,0.0,1.0]]", 40
120, 0.7877530580000001, "[[4.0][5.0,0.0,3.0,0.0,0.0]]", "[[4.0][5.0,0.0,3.0,0.0,0.0], [6.0][7.0,0.0,2.0,0.0,0.0], [8.0][7.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [0.0][7.0,1.0,3.0,0.0,1.0], [0.0][7.0,1.0,3.0,0.0,1.0], [0.0][7.0,1.0,3.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [4.0][7.0,1.0,3.0,0.0,1.0], [4.0][7.0,1.0,3.0,0.0,1.0], [0.0][7.0,1.0,4.0,0.0,1.0], [0.0][7.0,1.0,4.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0], [0.0][8.0,1.0,3.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0], [0.0][10.0,1.0,1.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0], [0.0][7.0,1.0,4.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0]]", 40
160, 0.8622206170000001, "[[4.0][5.0,0.0,3.0,0.0,0.0]]", "[[4.0][5.0,0.0,3.0,0.0,0.0], [6.0][7.0,0.0,2.0,0.0,0.0], [6.0][6.0,0.0,3.0,0.0,0.0], [8.0][7.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][7.0,1.0,1.0,0.0,1.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,1.0], [2.6666666666666665][5.0,1.0,4.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [0.0][7.0,1.0,3.0,0.0,1.0], [0.0][7.0,1.0,3.0,0.0,1.0], [0.0][7.0,1.0,3.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [3.0][7.0,1.0,3.0,0.0,1.0], [4.0][7.0,1.0,3.0,0.0,1.0], [4.0][7.0,1.0,3.0,0.0,1.0], [4.0][7.0,1.0,3.0,0.0,1.0], [0.0][7.0,1.0,4.0,0.0,1.0], [0.0][7.0,1.0,4.0,0.0,1.0], [0.0][9.0,1.0,2.0,0.0,1.0]]", 40
200, 0.9298740790000001, "[[NaN][7.0,0.0,0.0,0.0,0.0]]", "[[NaN][7.0,0.0,0.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [6.0][7.0,0.0,2.0,0.0,0.0], [6.0][6.0,0.0,3.0,0.0,0.0], [8.0][7.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][7.0,1.0,1.0,0.0,1.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,1.0], [2.6666666666666665][5.0,1.0,4.0,0.0,1.0], [2.6666666666666665][5.0,1.0,4.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [0.0][7.0,1.0,3.0,0.0,1.0], [0.0][7.0,1.0,3.0,0.0,1.0], [0.0][7.0,1.0,3.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0], [0.0][8.0,1.0,2.0,0.0,1.0]]", 40
240, 0.9963900410000001, "[[21.0][4.0,0.0,3.0,0.0,0.0]]", "[[21.0][4.0,0.0,3.0,0.0,0.0], [NaN][7.0,0.0,0.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [0.0][6.0,1.0,1.0,0.0,1.0], [2.4000000000000004][5.0,1.0,2.0,0.0,1.0], [6.0][7.0,0.0,2.0,0.0,0.0], [6.0][6.0,0.0,3.0,0.0,0.0], [6.0][4.0,0.0,5.0,0.0,0.0], [8.0][7.0,0.0,2.0,0.0,0.0], [9.0][6.0,0.0,3.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][7.0,1.0,1.0,0.0,1.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [4.0][6.0,0.0,3.0,0.0,1.0], [0.0][8.0,0.0,2.0,0.0,1.0], [2.6666666666666665][5.0,1.0,4.0,0.0,1.0], [2.6666666666666665][5.0,1.0,4.0,0.0,1.0], [5.0][4.0,1.0,5.0,0.0,1.0]]", 40
280, 1.043924215, "[[7.200000000000001][4.0,0.0,2.0,0.0,0.0]]", "[[7.200000000000001][4.0,0.0,2.0,0.0,0.0], [7.499999999999999][5.0,0.0,2.0,0.0,0.0], [21.0][4.0,0.0,3.0,0.0,0.0], [NaN][7.0,0.0,0.0,0.0,0.0], [NaN][7.0,0.0,0.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [5.333333333333333][4.0,0.0,4.0,0.0,0.0], [0.0][6.0,1.0,1.0,0.0,1.0], [2.4000000000000004][5.0,1.0,2.0,0.0,1.0], [6.0][7.0,0.0,2.0,0.0,0.0], [6.0][6.0,0.0,3.0,0.0,0.0], [6.0][4.0,0.0,5.0,0.0,0.0], [6.0][5.0,0.0,4.0,0.0,0.0], [6.0][4.0,0.0,5.0,0.0,0.0], [8.0][7.0,0.0,2.0,0.0,0.0], [9.0][6.0,0.0,3.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][7.0,1.0,1.0,0.0,1.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0]]", 40
320, 1.097308285, "[[7.200000000000001][4.0,0.0,2.0,0.0,0.0]]", "[[7.200000000000001][4.0,0.0,2.0,0.0,0.0], [13.5][4.0,0.0,2.0,0.0,0.0], [4.0][3.0,0.0,3.0,0.0,1.0], [7.499999999999999][5.0,0.0,2.0,0.0,0.0], [8.0][5.0,0.0,2.0,0.0,0.0], [10.0][6.0,0.0,1.0,0.0,0.0], [21.0][4.0,0.0,3.0,0.0,0.0], [NaN][7.0,0.0,0.0,0.0,0.0], [NaN][7.0,0.0,0.0,0.0,0.0], [1.5][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [5.333333333333333][4.0,0.0,4.0,0.0,0.0], [5.333333333333333][4.0,0.0,4.0,0.0,0.0], [0.0][6.0,1.0,1.0,0.0,1.0], [1.9090909090909094][5.0,1.0,2.0,0.0,1.0], [2.4000000000000004][5.0,1.0,2.0,0.0,1.0], [2.4000000000000004][5.0,1.0,2.0,0.0,1.0], [2.6250000000000004][3.0,1.0,4.0,0.0,1.0], [4.5][5.0,1.0,2.0,0.0,1.0], [6.0][7.0,0.0,2.0,0.0,0.0], [6.0][6.0,0.0,3.0,0.0,0.0], [6.0][4.0,0.0,5.0,0.0,0.0], [6.0][5.0,0.0,4.0,0.0,0.0], [6.0][4.0,0.0,5.0,0.0,0.0], [6.0][6.0,0.0,2.0,1.0,0.0], [6.0][7.0,0.0,2.0,0.0,0.0], [8.0][7.0,0.0,2.0,0.0,0.0], [8.0][7.0,0.0,2.0,0.0,0.0], [9.0][6.0,0.0,3.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][9.0,0.0,1.0,0.0,0.0], [0.0][10.0,0.0,0.0,0.0,0.0], [0.0][7.0,0.0,3.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0], [0.0][8.0,0.0,2.0,0.0,0.0]]", 40
360, 1.143685659, "[[0.0][5.0,0.0,1.0,0.0,0.0]]", "[[0.0][5.0,0.0,1.0,0.0,0.0], [3.9375][4.0,0.0,2.0,0.0,0.0], [7.200000000000001][4.0,0.0,2.0,0.0,0.0], [13.5][4.0,0.0,2.0,0.0,0.0], [4.0][3.0,0.0,3.0,0.0,1.0], [6.0][6.0,0.0,1.0,0.0,0.0], [7.499999999999999][5.0,0.0,2.0,0.0,0.0], [8.0][5.0,0.0,2.0,0.0,0.0], [10.0][6.0,0.0,1.0,0.0,0.0], [12.0][3.0,0.0,3.0,1.0,0.0], [17.5][4.0,0.0,3.0,0.0,0.0], [21.0][4.0,0.0,3.0,0.0,0.0], [NaN][7.0,0.0,0.0,0.0,0.0], [NaN][7.0,0.0,0.0,0.0,0.0], [1.5][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [5.333333333333333][4.0,0.0,4.0,0.0,0.0], [5.333333333333333][4.0,0.0,4.0,0.0,0.0], [6.666666666666667][4.0,0.0,4.0,0.0,0.0], [6.666666666666667][4.0,0.0,4.0,0.0,0.0], [0.0][6.0,1.0,1.0,0.0,1.0], [1.0][3.0,1.0,3.0,0.0,2.0], [1.9090909090909094][5.0,1.0,2.0,0.0,1.0], [2.25][2.0,1.0,4.0,1.0,1.0], [2.4000000000000004][5.0,1.0,2.0,0.0,1.0], [2.4000000000000004][5.0,1.0,2.0,0.0,1.0], [2.6250000000000004][3.0,1.0,4.0,0.0,1.0], [2.6666666666666665][4.0,0.0,4.0,0.0,1.0], [4.5][5.0,1.0,2.0,0.0,1.0], [4.725][2.0,1.0,5.0,0.0,1.0], [4.800000000000001][4.0,1.0,3.0,0.0,1.0], [4.800000000000001][4.0,1.0,3.0,0.0,1.0], [5.333333333333333][5.0,1.0,2.0,0.0,1.0], [6.0][7.0,0.0,2.0,0.0,0.0], [6.0][6.0,0.0,3.0,0.0,0.0]]", 40
400, 1.19526963, "[[3.0][4.0,0.0,1.0,0.0,0.0]]", "[[3.0][4.0,0.0,1.0,0.0,0.0], [0.0][5.0,0.0,1.0,0.0,0.0], [0.0][5.0,0.0,1.0,0.0,0.0], [3.9375][4.0,0.0,2.0,0.0,0.0], [7.200000000000001][4.0,0.0,2.0,0.0,0.0], [13.5][4.0,0.0,2.0,0.0,0.0], [3.818181818181819][3.0,0.0,3.0,0.0,1.0], [3.829787234042554][4.0,0.0,3.0,0.0,0.0], [4.0][3.0,0.0,3.0,0.0,1.0], [4.800000000000001][3.0,0.0,3.0,0.0,1.0], [5.0][2.0,0.0,4.0,0.0,1.0], [6.0][6.0,0.0,1.0,0.0,0.0], [7.499999999999999][5.0,0.0,2.0,0.0,0.0], [8.0][5.0,0.0,2.0,0.0,0.0], [10.0][6.0,0.0,1.0,0.0,0.0], [12.0][3.0,0.0,3.0,1.0,0.0], [17.5][4.0,0.0,3.0,0.0,0.0], [21.0][4.0,0.0,3.0,0.0,0.0], [NaN][7.0,0.0,0.0,0.0,0.0], [NaN][7.0,0.0,0.0,0.0,0.0], [1.5][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [4.0][5.0,0.0,3.0,0.0,0.0], [5.333333333333333][4.0,0.0,4.0,0.0,0.0], [5.333333333333333][4.0,0.0,4.0,0.0,0.0], [5.333333333333333][4.0,0.0,4.0,0.0,0.0], [5.333333333333333][4.0,0.0,4.0,0.0,0.0], [6.666666666666667][4.0,0.0,4.0,0.0,0.0], [6.666666666666667][4.0,0.0,4.0,0.0,0.0], [0.0][6.0,1.0,1.0,0.0,1.0], [0.0][6.0,1.0,1.0,0.0,1.0], [0.0][6.0,1.0,1.0,0.0,1.0], [1.0][3.0,1.0,3.0,0.0,2.0], [1.9090909090909094][5.0,1.0,2.0,0.0,1.0], [2.25][2.0,1.0,4.0,1.0,1.0]]", 40
